stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.9,1.89,14.1144,0.0511,2.6898
2021-06-30,2021-06-30,3.81,3.86,13.1295,0.1046,2.7669
2021-09-30,2021-09-30,6.13,6.0,12.5167,0.1595,2.6106
2021-12-31,2021-12-31,8.02,8.05,12.9789,0.2122,2.6589
2022-03-31,2022-03-31,2.96,3.0,11.7648,0.08,2.7274
2022-06-30,2022-06-30,5.31,5.19,11.8137,0.1365,2.5992
2022-09-30,2022-09-30,7.23,7.21,11.7331,0.189,2.6403
2022-12-31,2022-12-31,9.3,9.48,12.8479,0.2475,2.6997
2023-03-31,2023-03-31,2.9,2.95,14.5446,0.0797,2.7762
2023-06-30,2023-06-30,5.29,5.06,14.5613,0.133,2.551
2023-09-30,2023-09-30,7.21,7.21,14.0013,0.185,2.6024
2023-12-31,2023-12-31,9.27,9.52,15.0113,0.2518,2.7393
2024-03-31,2024-03-31,3.05,3.1,14.2645,0.0851,2.823
2024-06-30,2024-06-30,5.52,5.42,15.2114,0.1495,2.7402
2024-09-30,2024-09-30,7.87,7.95,15.7057,0.2187,2.8165
2024-12-31,2024-12-31,10.39,10.65,17.404,0.2898,2.8295
2025-03-31,2025-03-31,3.1,3.15,17.535,0.0895,2.9216
2025-06-30,2025-06-30,5.87,5.8,17.7481,0.1632,2.8174
2025-09-30,2025-09-30,8.23,8.42,16.8434,0.2353,2.8969
