date,open,close,high,low,volume,amount
2024-07-01,1.467,1.473,1.475,1.463,7471122.0,1097782092.0
2024-07-02,1.482,1.474,1.485,1.471,8252473.0,1219582651.0
2024-07-03,1.496,1.501,1.504,1.491,8460287.0,1268117887.0
2024-07-04,1.52,1.51,1.54,1.5,11568361.0,1763045031.0
2024-07-05,1.512,1.529,1.534,1.512,7541037.0,1147229187.0
2024-07-08,1.547,1.552,1.557,1.537,5504556.0,850396041.0
2024-07-09,1.559,1.568,1.572,1.558,7655477.0,1198427326.0
2024-07-10,1.57,1.548,1.571,1.542,9578113.0,1486253452.0
2024-07-11,1.568,1.555,1.57,1.551,7903376.0,1230531821.0
2024-07-12,1.505,1.492,1.509,1.491,10425686.0,1561380342.0
2024-07-15,1.505,1.539,1.541,1.505,9082237.0,1384355021.0
2024-07-16,1.544,1.536,1.558,1.534,6887309.0,1064050030.0
2024-07-17,1.534,1.522,1.534,1.513,5042146.0,768286837.0
2024-07-18,1.466,1.495,1.497,1.464,8536641.0,1262599319.0
2024-07-19,1.477,1.471,1.483,1.47,4990799.0,736918893.0
2024-07-22,1.46,1.463,1.466,1.449,7356904.0,1071024598.0
2024-07-23,1.483,1.477,1.488,1.469,5567611.0,823639124.0
2024-07-24,1.465,1.448,1.471,1.447,6620588.0,964919804.0
2024-07-25,1.41,1.407,1.414,1.398,10327303.0,1453392518.0
2024-07-26,1.396,1.409,1.411,1.396,7924867.0,1111923067.0
2024-07-29,1.428,1.437,1.438,1.422,7251557.0,1035826213.0
2024-07-30,1.422,1.42,1.426,1.411,7478708.0,1060686024.0
2024-07-31,1.412,1.429,1.432,1.409,6076253.0,862712907.0
2024-08-01,1.463,1.463,1.472,1.462,6758593.0,990907955.0
2024-08-02,1.411,1.396,1.429,1.388,10584025.0,1491470874.0
2024-08-05,1.33,1.287,1.339,1.262,21872906.0,2853557071.0
2024-08-06,1.335,1.332,1.342,1.324,13465695.0,1797753586.0
2024-08-07,1.332,1.334,1.35,1.33,9937123.0,1332653600.0
2024-08-08,1.312,1.314,1.319,1.305,9255086.0,1214313735.0
2024-08-09,1.355,1.35,1.355,1.341,5762414.0,778137099.0
2024-08-12,1.355,1.365,1.366,1.353,4464929.0,607200654.0
