date,open,high,low,close,volume,amount
2026-01-05,114.8,114.807,114.578,114.594,26908000,3085646256.0
2026-01-06,114.583,114.583,114.413,114.508,40296757,4613691110.0
2026-01-07,114.3,114.539,114.28,114.403,24115310,2760732445.0
2026-01-08,114.499,114.645,114.443,114.638,27342400,3131366740.0
2026-01-09,114.664,114.7,114.59,114.639,21434601,2457720821.0
2026-01-12,114.68,114.755,114.601,114.634,25765900,2954421795.0
2026-01-13,114.602,114.724,114.602,114.72,11741619,1346514067.0
2026-01-14,114.76,114.78,114.665,114.776,30137978,3456942626.0
2026-01-15,114.848,114.928,114.818,114.895,21921958,2518615635.0
2026-01-16,114.798,114.964,114.78,114.948,14288350,1641881976.0
2026-01-19,114.96,114.999,114.874,114.916,38140900,4382773064.0
2026-01-20,114.888,115.038,114.888,115.021,21379007,2458396969.0
2026-01-21,115.099,115.218,115.078,115.192,44042035,5070888910.0
2026-01-22,115.192,115.21,115.154,115.178,21366400,2460967561.0
2026-01-23,115.19,115.33,115.19,115.248,26151740,3014367017.0
2026-01-26,115.26,115.298,115.21,115.275,15106679,1741149460.0
2026-01-27,115.265,115.321,115.186,115.211,19448396,2241672960.0
2026-01-28,115.211,115.244,115.162,115.241,25925200,2986414341.0
2026-01-29,115.272,115.393,115.272,115.287,21691692,2501795404.0
2026-01-30,115.29,115.352,115.243,115.251,18579032,2141851759.0
2026-02-02,115.346,115.365,115.268,115.316,34169200,3940188282.0
2026-02-03,115.272,115.333,115.24,115.324,19610685,2260689227.0
2026-02-04,115.35,115.35,115.278,115.283,24242351,2795306313.0
2026-02-05,115.29,115.437,115.284,115.4,21079377,2431157013.0
2026-02-06,115.5,115.542,115.457,115.526,17249600,1992420580.0
2026-02-09,115.489,115.709,115.487,115.706,23159119,2677501410.0
2026-02-10,115.7,115.759,115.662,115.734,15257235,1765689691.0
2026-02-11,115.76,115.804,115.735,115.748,22671105,2624862258.0
2026-02-12,115.728,115.835,115.716,115.828,14305400,1656003194.0
2026-02-13,115.88,115.91,115.735,115.776,18456100,2137384143.0
2026-02-24,115.811,115.849,115.795,115.846,20430640,2366256982.0
