date,open,high,low,close,volume,amount
2026-01-05,1.535,1.567,1.533,1.566,1628538512,2523955441.899
2026-01-06,1.564,1.577,1.547,1.573,1736163162,2712801044.381
2026-01-07,1.576,1.589,1.56,1.578,1207062931,1901418145.816
2026-01-08,1.566,1.575,1.551,1.56,1002305711,1564679816.071
2026-01-09,1.549,1.568,1.538,1.567,1186626323,1849385280.167
2026-01-12,1.56,1.598,1.538,1.591,1634155600,2558939529.735
2026-01-13,1.592,1.61,1.553,1.56,1335195678,2110760551.731
2026-01-14,1.561,1.597,1.552,1.571,1734645199,2730650359.368
2026-01-15,1.557,1.585,1.551,1.582,971507104,1522632593.583
2026-01-16,1.598,1.603,1.575,1.582,967537604,1535104357.596
2026-01-19,1.567,1.589,1.56,1.563,994373997,1562352849.389
2026-01-20,1.562,1.568,1.524,1.534,1445608201,2222888252.622
2026-01-21,1.523,1.561,1.523,1.542,798802522,1236980392.97
2026-01-22,1.547,1.563,1.531,1.558,839342786,1299349794.206
2026-01-23,1.56,1.565,1.547,1.562,694776968,1082099193.815
2026-01-26,1.565,1.569,1.541,1.549,913781324,1417753097.852
2026-01-27,1.547,1.571,1.529,1.563,828245159,1286498565.32
2026-01-28,1.569,1.571,1.542,1.553,636814874,990976217.481
2026-01-29,1.55,1.571,1.543,1.547,776307732,1207594204.781
2026-01-30,1.543,1.589,1.531,1.577,1179292726,1842346001.008
2026-02-02,1.582,1.603,1.538,1.539,1210935827,1899358576.857
2026-02-03,1.565,1.572,1.527,1.565,1086531210,1689361832.192
2026-02-04,1.551,1.562,1.522,1.555,956107405,1472243461.539
2026-02-05,1.538,1.547,1.521,1.53,787213281,1205158971.944
2026-02-06,1.515,1.544,1.5,1.519,673325871,1025905608.296
2026-02-09,1.551,1.572,1.537,1.568,787555316,1225708534.115
2026-02-10,1.568,1.576,1.559,1.565,366898553,575000253.456
2026-02-11,1.556,1.561,1.538,1.54,548656567,848572413.92
2026-02-12,1.542,1.564,1.542,1.56,608717217,947326488.858
2026-02-13,1.551,1.557,1.536,1.537,498760273,770478582.767
2026-02-24,1.562,1.573,1.547,1.557,557524047,870119413.539
